"ε/E = 1.00e+002"
0.000001 3.141591e+000 8.000000e+013
0.012001 3.126007e+000 5.554630e+005
0.024001 3.110423e+000 1.388773e+005
0.036001 3.094838e+000 6.172497e+004
0.048001 3.079252e+000 3.472078e+004
0.060001 3.063664e+000 2.222148e+004
0.072001 3.048074e+000 1.543167e+004
0.084001 3.032482e+000 1.133760e+004
0.096001 3.016887e+000 8.680375e+003
0.108001 3.001289e+000 6.858584e+003
0.120001 2.985687e+000 5.555463e+003
0.132001 2.970081e+000 4.591299e+003
0.144001 2.954471e+000 3.857971e+003
0.156001 2.938856e+000 3.287269e+003
0.168001 2.923236e+000 2.834433e+003
0.180001 2.907611e+000 2.469108e+003
0.192001 2.891979e+000 2.170116e+003
0.204001 2.876341e+000 1.922319e+003
0.216001 2.860696e+000 1.714662e+003
0.228001 2.845044e+000 1.538922e+003
0.240001 2.829385e+000 1.388877e+003
0.252001 2.813717e+000 1.259753e+003
0.264001 2.798041e+000 1.147833e+003
0.276001 2.782356e+000 1.050192e+003
0.288001 2.766662e+000 9.644995e+002
0.300001 2.750958e+000 8.888830e+002
0.312001 2.735244e+000 8.218225e+002
0.324001 2.719520e+000 7.620742e+002
0.336001 2.703784e+000 7.086126e+002
0.348001 2.688037e+000 6.605854e+002
0.360001 2.672279e+000 6.172805e+002
0.372001 2.656508e+000 5.780984e+002
0.384001 2.640724e+000 5.425319e+002
0.396001 2.624928e+000 5.101494e+002
0.408001 2.609117e+000 4.805820e+002
0.420001 2.593293e+000 4.535126e+002
0.432001 2.577455e+000 4.286674e+002
0.444001 2.561601e+000 4.058094e+002
0.456001 2.545733e+000 3.847321e+002
0.468001 2.529848e+000 3.652552e+002
0.480001 2.513947e+000 3.472208e+002
0.492001 2.498030e+000 3.304898e+002
0.504001 2.482095e+000 3.149395e+002
0.516001 2.466143e+000 3.004615e+002
0.528001 2.450173e+000 2.869594e+002
0.540001 2.434184e+000 2.743474e+002
0.552001 2.418176e+000 2.625489e+002
0.564001 2.402148e+000 2.514955e+002
0.576001 2.386101e+000 2.411257e+002
0.588001 2.370033e+000 2.313843e+002
0.600001 2.353944e+000 2.222215e+002
0.612001 2.337833e+000 2.135924e+002
0.624001 2.321701e+000 2.054563e+002
0.636001 2.305546e+000 1.977764e+002
0.648001 2.289368e+000 1.905191e+002
0.660001 2.273166e+000 1.836542e+002
0.672001 2.256940e+000 1.771537e+002
0.684001 2.240690e+000 1.709923e+002
0.696001 2.224415e+000 1.651468e+002
0.708001 2.208114e+000 1.595961e+002
0.720001 2.191786e+000 1.543206e+002
0.732001 2.175432e+000 1.493023e+002
0.744001 2.159051e+000 1.445250e+002
0.756001 2.142641e+000 1.399733e+002
0.768001 2.126203e+000 1.356333e+002
0.780001 2.109736e+000 1.314921e+002
0.792001 2.093240e+000 1.275377e+002
0.804001 2.076713e+000 1.237590e+002
0.816001 2.060155e+000 1.201458e+002
0.828001 2.043566e+000 1.166886e+002
0.840001 2.026945e+000 1.133784e+002
0.852001 2.010291e+000 1.102072e+002
